body,label
عارف مين دا,not bullying
"دا #رمضان_صبحى ١٨ سنه ، ١ كونفدراليه و ٢ دورى و واحد حازم امام",not bullying
"#سافل #سافل""",bullying
الى البخاري و كل من يعادي لبنان و كل من يحاول طرد اي لبناني و الى كل اللبنانيين #المنبطحين و #بلا كرامة,bullying
#سافل,bullying
"#حلوا_عنا""",not bullying
من يبث الاشاعات انسان #قاتل و #سافل,bullying
"#نعم_للتطعيم""",not bullying
#الثرثار مو عشائر الانبار؟,not bullying
"#الحلبوسي_ابن_الارهاب""",bullying
وانت حد يقدر يعمك معاک حاجه يا #سافل,bullying
"#عوده_الفراعنه #مصطفي_فتحى""",not bullying
الإرهابي على الكردي منذ وصوله من أفغانستان بدءبمهاجمة #عفاش ثم تحول إلى صفه ويدافع عنه,bullying
"#سافل مع مرتبه النذالة والخسة""",bullying
أي أحد يبرر قتل #فتاة_جامعة_المنصوره ويقول هي,not bullying
سرق كل شيء منها ابتسامتها قلبها عقلها سعادتها وترك لها تعاسة ابدية ..,not bullying
"#سافل""",bullying
فيديو | تناقضات #مستشار_ابليس,not bullying
#مستشار_ابليس ( عبدالباري عطوان ) يُهدد المملكة بسيده بايدن !!,not bullying
#مستشار_ابليس,not bullying
السبب اعتبره #سافل وتنعدم لديه الاخلاق . وحتى تدينه زائف .,bullying
بايدن استسلم لبن سلمان وذهب اليه #زاحفا !!.,bullying
"#مرتزق #سافل""",bullying
#الا_صباح_الأحمد,not bullying
"تتهاوشون تتساببون انتوا حرين بندعيلكم بالهدايه لكن اي #سافل ماربته أمه يتجرأ ويتطاول على تاج الراس أبوناصر لايلوم الانفسه""",bullying
"الذي يعتبر نفسه ""مُثقّف"" او عنده شيئا من علم و يستخدمه في الاستعلاء على الذين يجهلون او لا يعلمون فهو مُثقّف #سافل و يندرج ضمن فئة أشباه المثقفين على وزن أشباه الرجال",bullying
#ســـــافـــل من اجحد وجودك,bullying
#ياعلي ســـــــافل,bullying
