text,label
عارف مين دا,0
دا رمضان صبحي سنه كونفدراليه دوري حازم امام,0
سافل سافل,1
الي البخاري يعادي لبنان يحاول طرد اي لبناني الي اللبنانيين المنبطحين بلا كرامه,1
سافل,1
حلوا عنا,0
يبث الاشاعات انسان قاتل سافل,1
للتطعيم,0
الثرثار مو عشاءر الانبار,0
الحلبوسي ابن الارهاب,1
وانت حد يقدر يعمك معاك حاجه سافل,1
عوده الفراعنه مصطفي فتحي,0
الارهابي علي الكردي وصوله افغانستان بدءبمهاجمه عفاش تحول الي صفه ويدافع عنه,1
سافل مرتبه النذاله والخسه,1
اي احد يبرر قتل فتاه جامعه المنصوره ويقول,0
سرق شيء ابتسامتها قلبها عقلها سعادتها وترك تعاسه ابديه,0
فيديو تناقضات مستشار ابليس,0
مستشار ابليس عبدالباري عطوان يهدد المملكه بسيده بايدن,0
مستشار ابليس,0
السبب اعتبره سافل وتنعدم لديه الاخلاق وحتي تدينه زاءف,1
بايدن استسلم لبن سلمان وذهب اليه زاحفا,1
مرتزق سافل,1
الا الاحمد,0
تتهاوشون تتساببون انتوا حرين بندعيلكم بالهدايه اي سافل ماربته امه يتجرا ويتطاول علي تاج الراس ابوناصر لايلوم الانفسه,1
يعتبر نفسه مثقف او عنده شيءا يستخدمه الاستعلاء علي يجهلون او يعلمون فهو مثقف سافل يندرج ضمن فءه اشباه المثقفين علي وزن اشباه الرجال,1
سافل اجحد وجودك,1
ياعلي سافل,1
بايهمش دورك الفاعل,0
ماافنيت عمرك رضاء الجمهور,0
الف رحمه الله ونور يارمز الوفاء,0
المباحث بتوزع فولورز وتكيفات,0
طبيعي اني ابءي سافل,1
عشان انا اتولد ملط,1
جبران حليف الحزب وقت النصر,0
وخاءن الحزب العصر,0
يسلم اشرف الخلق نيل الناقصين ومرضي النفوس ولقد نعلم انك يضيق صدرك يقولون فكيف دونه,0
واذا اتتك مذمتي ناقص سافل,1
مدير منظمه الصحه العالميه يءكد ان المنظمه دقت ناقوس الخطر مبكرا بشان وباء كورونا الدليل انه انتشر العالم حيوان,1
